"","V1","V2","V3","V4","V5","V6"
"accum",0.9946053898265,0.997300627333808,0.288451416459159,0.962583475878643,0.268119347903724,0.933746154151569
"result.35",0.97585413983835,0.978520555033403,0.324717327343854,0.9946053898265,0.324717327343854,0.863615636340844
"result.40",0.959941595183354,0.962583475878643,0.989218722337719,0.991914283033475,0.771452476655403,0.986531046244777
"result.41",0.997300627333808,1,0.997300627333808,0.997300090000204,0.234681020179448,0.981191074518267
"result.44",1,0.997300090000204,0.936347486447124,0.997300627333808,0.952040379871496,0.931148853504252
"result.53",0.983865702668191,0.986544443869927,0.983846422906188,0.997300627333808,0.108869122003872,0.983865702668191
"result.54",0.978486325393641,0.975810846686371,0.907953887101422,0.910515089333411,0.991914283033475,0.991909453467579
"result.64",0.9946053898265,0.997300627333808,0.973191824569334,0.983865702668191,0.991914283033475,0.920799884121762
"result.71",0.9946032419233,0.9946032419233,0.97585413983835,0.983865702668191,0.26277651026679,0.991914283033475
"result.73",0.97046901808421,0.967802663694101,0.9946053898265,0.997300627333808,0.97046901808421,0.967802663694101
"result.79",0.986544443869927,0.989227302521747,0.9946053898265,0.997300627333808,0.962583475878643,0.997300627333808
"result.84",0.9946053898265,0.997300627333808,0.997300090000204,0.9946032419233,0.0597191427115936,0.991909453467579
"result.86",0.991914283033475,0.9946053898265,0.835398658712918,0.9946053898265,0.835797967279299,1
"result.92",0.9946053898265,0.997300627333808,0.991914283033475,0.9946053898265,0.732826083356741,0.902843449845321
"result.97",0.9946053898265,1,0.97585413983835,0.978520555033403,0.345410705503533,0.986544443869927
"result.103",0.997300627333808,1,0.986531046244777,0.959941595183354,0.87126416701899,0.983846422906188
"result.111",0.989218722337719,0.997300627333808,0.949414769449633,0.997300627333808,0.954670051458196,0.973191824569334
"result.115",0.965229434852475,0.967879476411577,0.925552516659161,0.997300627333808,0.991909453467579,0.989227302521747
"result.119",0.989227302521747,0.9946053898265,0.938952854574103,0.9946053898265,0.278876081822182,0.825649030770455
"result.122",0.9946053898265,0.997300627333808,0.86751461237363,0.981191074518267,0.925966330477084,0.938952854574103
"result.127",0.94394187064451,0.989218722337719,0.94394187064451,0.9946032419233,0.87126416701899,0.9946032419233
"result.130",0.989227302521747,1,0.853458922150194,0.986531046244777,0.298843061438588,0.957303788471227
"result.136",0.9946053898265,0.997300627333808,0.983865702668191,0.957303788471227,0.923381099786278,0.997300627333808
