"","V1","V2"
"result.274",2001,0
"result.275",2001,0
"result.276",2001,0
"result.277",2001,0
"result.278",2001,0
"result.279",2001,0
"result.280",2001,0
"result.281",2001,0
"result.282",2001,0
"result.283",2001,0
"result.284",2001,0
"result.285",2001,0
"result.286",2001,0
"result.287",2001,0
"result.288",2001,0
"result.289",2001,0
"result.290",2001,0
"result.291",2001,0
"result.292",2001,0
"result.293",2001,0
"result.294",2001,0
"result.295",2001,0
"result.296",2001,0
"result.297",2001,0
"result.298",2001,0
"result.299",2001,0
"result.300",2001,0
"result.301",2001,0
"result.302",916,0.280506035060021
"result.303",1021,0.585486938744332
"result.304",988,0.28491873317699
"result.305",2001,0
"result.306",2001,0
"result.307",2001,0
"result.308",2001,0
"result.309",2001,0
"result.310",2001,0
"result.311",2001,0
"result.312",2001,0
"result.313",171,0.322595578745744
"result.314",2001,0
"result.315",2001,0
"result.316",2001,0
"result.317",2001,0
"result.318",2001,0
"result.319",2001,0
"result.320",2001,0
"result.321",2001,0
"result.322",2001,0
"result.323",2001,0
"result.324",2001,0
"result.325",2001,0
"result.326",2001,0
"result.327",2001,0
"result.328",2001,0
"result.329",2001,0
"result.330",2001,0
"result.331",2001,0
"result.332",2001,0
"result.333",2001,0
"result.334",2001,0
"result.335",2001,0
"result.336",2001,0
"result.337",2001,0
"result.338",2001,0
"result.339",2001,0
"result.340",2001,0
"result.341",2001,0
"result.342",449,0.205933234178023
"result.343",2001,0
"result.344",2001,0
"result.345",2001,0
"result.346",2001,0
"result.347",2001,0
"result.348",2001,0
"result.349",2001,0
"result.350",2001,0
"result.351",171,0.0834366834237557
"result.352",2001,0
"result.353",2001,0
"result.354",2001,0
"result.355",2001,0
"result.356",2001,0
"result.357",2001,0
"result.358",2001,0
"result.359",2001,0
"result.360",2001,0
"result.361",2001,0
"result.362",2001,0
"result.363",2001,0
"result.364",2001,0
"result.365",2001,0
"result.366",2001,0
"result.367",1003,0.404705146290766
"result.368",2001,0
"result.369",2001,0
"result.370",2001,0
"result.371",2001,0
"result.372",2001,0
"result.373",2001,0
"result.374",2001,0
"result.375",2001,0
